,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,class
2967,0.068573,0.533135,0.48813100000000004,0.25566500000000003,-0.6320640000000001,-0.01731,0.484429,0.017356,-0.37245700000000004,-0.155137,A
8129,0.080916,-0.11851300000000001,0.445454,-0.188027,0.261718,0.564038,0.371178,1.076486,0.40708,0.41718,A
9983,0.14263599999999999,-0.142067,0.24629600000000001,0.789259,-1.347089,1.145386,0.7864329999999999,0.46911400000000003,-0.091823,0.710108,A
10228,0.068573,0.148427,0.111153,0.179577,0.261718,0.356414,-0.006326,-1.167973,-1.183175,0.45586499999999996,A
5780,0.13029200000000002,-0.024299,0.24629600000000001,0.12100599999999999,0.08296100000000001,0.231839,0.371178,-0.24445999999999998,-0.12300499999999999,0.125097,A
10014,0.043885,-0.157769,0.32809299999999997,0.552225,0.261718,0.813187,0.333428,0.323402,0.032902,0.669639,A
4805,0.21669899999999997,-0.424709,0.306755,-0.043282999999999995,0.261718,-1.096956,-0.006326,-0.692878,-1.2455379999999998,-0.874756,A
1489,0.37716900000000003,-0.07925700000000001,0.153829,-1.1029520000000002,0.261718,-0.349509,0.031425,0.093252,-0.9649049999999999,-0.21689499999999998,A
4133,-0.042522000000000004,0.140576,0.089814,0.07231,0.261718,1.145386,0.220177,-1.987925,-1.058449,1.045169,A
8012,5.759087,-0.236281,0.37788299999999997,-2.104317,-1.79398,-1.429155,-2.724356,-1.130269,-2.523978,-2.622195,A
2002,0.229043,0.124874,0.182281,0.686496,0.261718,-0.22493400000000002,0.371178,0.720156,-0.37245700000000004,-0.281173,A
5786,-0.017834,-0.44041199999999997,0.26763400000000004,1.39515,0.261718,0.8962370000000001,-0.006326,1.132811,0.219991,0.9490290000000001,A
1933,0.364825,-0.047852,-0.038216,0.327813,0.261718,-0.764757,0.144676,-0.531303,-1.058449,-0.633666,A
2669,0.117948,0.23479,0.050694,0.22045599999999999,0.261718,-0.01731,0.220177,0.20733600000000002,0.095265,-0.00839,A
6099,0.117948,-0.008597,0.623275,-0.855684,0.17234000000000002,-1.096956,0.371178,-3.115242,-3.5529669999999998,-1.061104,A
5510,-0.091897,-0.11851300000000001,0.189393,1.280303,0.261718,-0.474083,-0.119577,0.715612,-0.746634,-0.24568299999999998,A
205,0.14263599999999999,0.48602799999999996,0.100483,-0.448543,0.17234000000000002,0.231839,0.220177,0.028908999999999997,0.46944300000000005,0.23183299999999998,A
6203,1.130144,-0.087108,-0.002652,-0.47963500000000003,0.08296100000000001,-0.266459,0.069175,0.094572,-0.87136,-0.16121300000000002,A
519,0.512951,-0.008597,-0.045329,-1.738144,-1.5258450000000001,1.35301,0.748682,-0.165498,-0.43482,0.886885,A
7850,0.192011,0.509582,0.07914500000000001,1.072093,0.261718,1.145386,0.069175,0.935026,0.594169,1.129796,A
7894,0.056228999999999994,-0.730905,0.44189799999999996,0.183695,0.261718,0.14879,-0.006326,0.17619400000000002,-0.12300499999999999,0.259994,A
4983,0.10560399999999999,-0.251983,0.466793,0.287084,0.261718,-0.764757,-0.157328,0.583121,0.18880999999999998,-0.48891999999999997,A
1837,0.14263599999999999,0.06991499999999999,0.399221,0.5680390000000001,-1.168333,0.024215,0.52218,0.9142319999999999,0.126447,-0.13231700000000002,A
3400,-3.498799,10.653310000000001,-3.210528,0.06482,-4.9222150000000005,0.024215,-0.044076,1.648251,-1.3390819999999999,0.191762,A
4800,0.068573,0.289748,0.107596,1.267115,0.261718,0.730137,0.52218,1.15974,-0.029461,0.47303199999999995,A
7766,-0.091897,-0.220579,0.27474699999999996,0.567174,-0.185173,0.439463,0.295677,0.772519,0.064084,0.352493,A
9335,0.056228999999999994,-0.730905,0.44189799999999996,0.183695,0.261718,1.602159,1.5036909999999999,-0.693616,0.438262,0.662756,A
7890,0.09326,-0.38545300000000005,0.352988,0.546705,0.261718,0.06573999999999999,0.7864329999999999,0.583568,0.032902,-0.243067,A
4867,0.006853,0.164129,0.125378,0.5845100000000001,0.261718,-0.598658,-0.006326,1.591927,0.62535,-0.418228,A
8730,0.080916,0.164129,0.19295,0.8190069999999999,0.261718,0.356414,0.220177,1.047596,-0.029461,0.324838,A
2845,0.303106,0.022808000000000002,0.14671700000000001,-1.8158419999999997,0.261718,-0.9308559999999999,-2.573354,-1.269885,-0.43482,-2.382551,A
1204,0.056228999999999994,0.124874,0.136047,0.14974,0.17234000000000002,2.598755,0.333428,-1.527139,-1.49499,2.294791,A
10009,0.09326,0.329004,0.27119099999999996,-0.8135220000000001,0.17234000000000002,1.519109,0.52218,-1.1309870000000002,-0.278912,1.1814280000000001,A
395,-3.498799,0.21123699999999998,-3.210528,-0.42422600000000005,-4.9222150000000005,0.813187,0.106925,0.262709,-0.029461,0.802125,A
1658,0.14263599999999999,-0.330495,0.299642,0.418282,0.17234000000000002,-1.013906,-0.270579,-0.152004,-0.12300499999999999,-0.671181,A
3484,0.192011,-0.251983,0.33165,0.296423,0.261718,-0.01731,0.144676,0.38256,0.157628,0.020108,A
9429,0.229043,0.242641,0.089814,0.12022999999999999,0.261718,0.480988,0.6354310000000001,-0.09404900000000001,-0.185368,0.194679,A
7588,-0.116585,-0.338346,-3.210528,-0.8658290000000001,-1.168333,-0.681707,-0.308329,0.672258,0.251173,-0.33615700000000004,A
7509,0.46357600000000004,0.109171,0.22495700000000002,-1.411178,0.261718,-0.6401819999999999,0.031425,0.789235,0.282354,-0.481867,A
9486,-2.215039,-0.29909,0.352988,0.05485399999999999,-1.704602,0.439463,-2.8376069999999998,-1.2781559999999998,-0.8089970000000001,-1.247681,A
9408,0.117948,0.23479,0.050694,0.22045599999999999,0.261718,0.356414,0.106925,-0.198329,-0.590727,0.375156,A
1686,0.14263599999999999,-0.142067,0.24629600000000001,0.789259,-1.347089,1.145386,0.710932,0.51142,-0.185368,0.728878,A
1754,0.303106,-0.134216,-0.002652,-0.624558,0.261718,0.439463,0.182426,-1.10897,-0.185368,0.430465,A
7434,0.303106,0.022808000000000002,0.14671700000000001,-1.8158419999999997,0.261718,-0.266459,0.937434,-0.835018,-0.185368,-0.597946,A
3311,0.15498,-0.189174,0.24629600000000001,-1.223587,0.08296100000000001,2.308081,0.106925,0.43138999999999994,-0.8089970000000001,2.17565,A
9560,0.21669899999999997,-2.0891599999999997,0.424116,-0.457525,0.08296100000000001,-0.515608,-0.195078,-1.1605370000000002,-1.650897,-0.240837,A
249,-0.091897,-0.11851300000000001,0.189393,1.280303,0.261718,0.813187,0.069175,0.254399,-1.058449,0.8233540000000001,A
4408,-0.00549,0.478177,0.029355000000000003,-0.247644,0.17234000000000002,-0.349509,0.484429,-0.596403,-0.060641999999999995,-0.451488,A
935,0.09326,-0.38545300000000005,0.352988,0.546705,0.261718,-0.10036,0.295677,0.8736729999999999,-0.029461,-0.13398,A
6214,0.500607,-0.220579,-0.03466,0.49732299999999996,0.17234000000000002,-0.14188399999999998,0.597681,0.231004,-0.029461,-0.31753200000000004,A
7229,0.167323,0.117022,0.047137,-0.174809,0.261718,0.688613,0.6354310000000001,-0.125075,0.251173,0.369913,A
3735,-3.498799,-0.22843000000000002,-3.210528,-0.316957,-4.9222150000000005,2.6818049999999998,-0.006326,-1.22453,-0.8089970000000001,2.600618,A
6188,0.327793,0.336855,-0.020434,1.086893,0.261718,-0.557133,0.069175,1.290561,0.8748020000000001,-0.414382,A
10259,-0.030177999999999996,0.30545100000000003,-3.203415,-0.130828,0.17234000000000002,1.35301,-0.270579,0.6643939999999999,0.500624,1.5759319999999999,A
9710,0.994361,-0.008597,-0.148465,0.8268840000000001,0.261718,0.647088,0.673182,0.585277,0.219991,0.313301,A
9662,0.327793,0.179832,0.157386,-0.508846,0.17234000000000002,0.730137,0.182426,0.148741,0.157628,0.690049,A
8428,0.229043,-0.008597,0.17516800000000002,0.087408,0.17234000000000002,1.311485,0.673182,-1.035385,-0.247731,0.9004459999999999,A
3336,-0.091897,-0.189174,0.345875,0.23591199999999998,0.261718,-0.349509,0.257927,-1.203912,-0.777816,-0.337965,A
8767,0.10560399999999999,-0.09496,0.32453699999999996,0.557118,0.17234000000000002,-0.14188399999999998,-0.308329,0.13631500000000002,0.251173,0.18174400000000002,A
6325,0.117948,-0.220579,0.367214,0.914608,0.261718,0.190314,-0.270579,0.9141739999999999,0.562987,0.461158,A
6677,0.15498,-0.251983,0.125378,-0.5766979999999999,-0.9001979999999999,-0.10036,0.748682,0.16769,0.064084,-0.367464,A
1466,0.14263599999999999,0.48602799999999996,0.100483,-0.448543,0.17234000000000002,-0.10036,0.408929,0.911067,0.31353600000000004,-0.19581099999999999,A
4754,0.45123199999999997,-0.26768600000000004,0.335206,-0.8313360000000001,0.261718,0.231839,0.220177,0.177708,-0.12300499999999999,0.20868699999999998,A
9234,-0.00549,-0.28338800000000003,0.214288,-2.421913,0.17234000000000002,0.564038,0.295677,-1.2541579999999999,-0.029461,0.46491899999999997,A
8290,0.229043,-0.008597,0.17516800000000002,0.087408,0.17234000000000002,-0.515608,0.597681,0.5936640000000001,0.001721,-0.6536770000000001,A
607,-0.091897,-0.189174,0.345875,0.23591199999999998,0.261718,-0.058835000000000005,0.333428,-0.160741,-0.247731,-0.11158199999999999,A
8303,0.14263599999999999,0.20338499999999998,-0.006209,-0.8348270000000001,0.261718,-0.847807,0.106925,-3.138404,-3.521785,-0.701246,A
4298,-3.498799,-0.5503279999999999,0.050694,-0.629422,-4.9222150000000005,-0.30798400000000004,0.484429,0.260282,0.251173,-0.417782,A
9173,0.15498,-0.16562000000000002,-3.210528,-1.3206799999999999,-0.185173,0.9792860000000001,0.55993,-1.236413,-1.027268,0.7011390000000001,A
2312,-0.091897,-0.220579,0.27474699999999996,0.567174,-0.185173,-0.474083,0.371178,0.768112,-2.679886,-0.48593000000000003,A
3620,0.068573,0.22693899999999997,0.015130000000000001,-0.6098180000000001,-1.0789549999999999,1.394535,0.861934,-0.8416389999999999,-0.154186,0.855168,A
7884,0.15498,0.23479,0.210732,0.643738,0.17234000000000002,0.231839,0.257927,0.22063600000000003,-0.247731,0.185614,A
1715,-3.498799,0.48602799999999996,0.139604,-5.440122,-0.006417,-0.764757,-0.270579,0.21995599999999998,-2.368071,-0.441338,A
8821,0.204355,-0.354049,0.32098000000000004,0.410166,-0.989576,-2.508801,0.333428,-1.405346,0.032902,-2.304036,A
4335,0.068573,-0.26768600000000004,0.33165,-0.197963,-2.062114,-1.055431,0.55993,0.7287560000000001,-2.77343,-1.109011,A
5186,-0.054866,0.313302,0.05425,0.218427,0.261718,0.06573999999999999,0.408929,0.431953,0.18880999999999998,-0.043289,A
1989,0.117948,0.23479,0.050694,0.22045599999999999,0.261718,0.522513,0.182426,0.185416,0.001721,0.491899,A
5305,0.327793,0.179832,0.157386,-0.508846,0.17234000000000002,1.8513080000000002,0.597681,-0.504063,0.375899,1.414261,A
7563,-3.498799,0.48602799999999996,0.139604,-5.440122,-0.006417,-0.557133,0.7864329999999999,0.192969,-2.461615,-0.7804,A
3775,-0.215336,0.776522,0.5023569999999999,-1.289141,-0.721442,0.10726500000000001,0.182426,-0.373262,0.126447,0.10859300000000001,A
620,0.14263599999999999,-0.142067,0.24629600000000001,0.789259,-1.347089,0.190314,0.371178,-0.557922,-1.151994,0.09272899999999999,A
6074,0.117948,0.124874,0.128935,0.3837,0.17234000000000002,-0.30798400000000004,-0.081827,0.455524,-0.403638,-0.10845999999999999,A
6608,-0.153617,-0.26768600000000004,-3.210528,-0.35177800000000004,-0.006417,1.629843,0.84935,-0.617838,-0.12300499999999999,1.064168,A
7240,0.17966700000000002,-0.330495,0.530808,-0.314183,0.08296100000000001,-0.22493400000000002,0.257927,0.211802,0.126447,-0.23667800000000003,A
1272,0.117948,-0.29909,0.47390600000000005,-0.204438,0.08296100000000001,-0.14188399999999998,0.182426,-0.794013,-0.216549,-0.11111199999999999,A
1284,0.389513,0.556689,0.431229,-1.955514,0.08296100000000001,-0.266459,0.031425,0.061099,-0.621908,-0.143214,A
1612,0.45123199999999997,-0.26768600000000004,0.335206,-0.8313360000000001,0.261718,0.024215,0.220177,0.9887870000000001,0.032902,0.025485,A
6642,0.229043,-0.354049,0.182281,0.210878,0.261718,-0.266459,0.257927,0.715147,0.095265,-0.26518800000000003,A
1344,-0.06721,-0.275537,0.253409,0.371526,-1.0789549999999999,0.9792860000000001,0.371178,-1.323452,-1.151994,0.790721,A
1571,0.14263599999999999,0.48602799999999996,0.100483,-0.448543,0.17234000000000002,-0.349509,0.106925,0.059022000000000005,-0.12300499999999999,-0.258245,A
5512,-0.017834,0.132725,0.125378,1.357345,0.261718,0.190314,0.106925,1.000864,-0.12300499999999999,0.251857,A
8611,0.056228999999999994,-0.087108,0.089814,1.312409,0.08296100000000001,0.024215,-0.006326,2.474066,0.282354,0.149653,A
10135,0.068573,-0.087108,0.47034899999999996,-0.099617,0.17234000000000002,0.14879,0.710932,0.031239,0.064084,-0.14288900000000002,A
3813,-0.042522000000000004,-0.29909,0.182281,1.151314,0.261718,0.10726500000000001,0.333428,0.45736800000000005,0.157628,0.04528,A
6335,0.14263599999999999,-0.142067,0.24629600000000001,0.789259,-1.347089,0.854712,0.446679,-0.08090499999999999,-0.247731,0.635933,A
2952,0.438888,-0.047852,0.388552,0.873551,-1.0789549999999999,0.8962370000000001,-0.45933100000000004,-0.353381,-0.621908,1.315023,A
45,0.13029200000000002,-0.024299,0.24629600000000001,0.12100599999999999,0.08296100000000001,0.14879,0.408929,0.219723,-0.37245700000000004,0.026486000000000003,A
7165,0.229043,-0.000745,0.17161099999999999,-0.002793,0.261718,-0.01731,0.52218,0.473774,-0.559546,-0.178765,A
2609,-3.498799,0.43107,0.466793,0.713201,-4.9222150000000005,-0.183409,0.408929,1.337469,-2.118619,-0.267057,A
8066,-0.16596,-0.26768600000000004,0.256965,0.051662,0.261718,-0.10036,0.446679,0.24343,-0.060641999999999995,-0.214738,A
7399,0.068573,-0.26768600000000004,0.33165,-0.197963,-2.062114,-0.266459,0.220177,0.671481,0.344717,-0.240548,A
6314,-0.178304,-0.189174,0.26407800000000003,-0.6404920000000001,0.17234000000000002,0.439463,0.182426,-1.4460600000000001,-1.7132599999999998,0.41651800000000005,A
525,-0.128929,0.022808000000000002,0.19295,0.837775,0.261718,0.771662,0.371178,1.024511,0.219991,0.602263,A
6905,-0.178304,0.014957,0.26407800000000003,0.582361,0.17234000000000002,0.356414,0.031425,0.624341,-0.216549,0.440833,A
4245,-0.042522000000000004,-2.395356,-3.210528,-1.128463,-0.721442,2.017408,-3.441614,-1.7593470000000002,-1.744441,-1.39526,A
8961,0.25373,-0.338346,-3.210528,-1.790689,0.351096,-0.058835000000000005,0.55993,0.487831,-0.185368,-0.23695500000000003,A
10020,0.15498,-0.040001,0.363657,1.200934,0.261718,-0.01731,0.069175,1.31714,0.282354,0.067726,A
2604,-0.314087,-0.236281,0.029355000000000003,0.46086099999999997,0.261718,1.726734,0.55993,-1.043618,-0.43482,1.3495489999999999,A
2059,0.10560399999999999,-0.087108,0.367214,1.522618,0.261718,1.643684,0.144676,0.6115649999999999,0.032902,1.543503,A
9575,-0.042522000000000004,-2.395356,-3.210528,-1.128463,-0.721442,0.854712,-4.913880000000001,-1.9145150000000002,-2.523978,-0.715785,A
9944,0.192011,0.509582,0.07914500000000001,1.072093,0.261718,0.397939,-2.762106,0.938909,0.500624,-1.401758,A
8585,0.426544,7.293003999999999,0.19295,-1.533156,-0.989576,-1.470679,0.144676,-2.815856,-2.617523,-1.294516,A
5164,-0.042522000000000004,-0.236281,-3.210528,-0.27205100000000004,0.261718,2.55723,-0.119577,-0.9108360000000001,-0.310094,2.567768,A
6075,-3.498799,0.611647,0.064919,0.45510200000000006,-4.9222150000000005,-0.474083,0.295677,0.789352,-1.900349,-0.46601499999999996,A
7499,0.056228999999999994,0.43107,-3.210528,-1.133148,0.261718,1.145386,0.257927,-1.770298,-1.058449,0.9995879999999999,A
773,-0.042522000000000004,-0.11066199999999998,0.40989,1.097277,0.261718,2.598755,0.899684,-0.34571199999999996,-0.12300499999999999,1.8610959999999999,A
3359,0.229043,-0.369751,0.484575,0.25017399999999995,0.261718,2.9309540000000003,2.258699,-1.013388,-0.185368,1.29606,A
551,0.14263599999999999,-0.330495,0.299642,0.418282,0.17234000000000002,-0.391033,0.257927,0.46775500000000003,0.31353600000000004,-0.376843,A
293,0.229043,-0.000745,0.17161099999999999,-0.002793,0.261718,0.10726500000000001,0.6354310000000001,-0.555417,-0.216549,-0.129435,A
6610,0.512951,-0.008597,-0.045329,-1.738144,-1.5258450000000001,1.768258,0.710932,0.091329,-0.091823,1.2669110000000001,A
9862,-0.26471100000000003,-0.275537,0.107596,0.827362,0.261718,0.9377620000000001,0.55993,0.5448729999999999,0.656532,0.624637,A
8424,0.14263599999999999,0.470326,-2.958023,-0.379737,0.261718,1.560634,0.446679,-0.010272,0.219991,1.256242,A
7803,-0.017834,-0.44041199999999997,0.26763400000000004,1.39515,0.261718,0.8962370000000001,-0.081827,-1.160168,-1.93153,0.995682,A
1853,0.09326,-1.6808990000000001,0.356544,0.180532,0.17234000000000002,0.024215,0.333428,-1.9574040000000001,-1.3390819999999999,-0.046592,A
10021,-3.498799,10.653310000000001,-3.210528,0.06482,-4.9222150000000005,-0.349509,0.220177,2.666123,-0.933723,-0.306115,A
6009,-0.030177999999999996,0.30545100000000003,-3.203415,-0.130828,0.17234000000000002,-0.01731,0.031425,0.9095719999999999,0.157628,0.08932899999999999,A
9805,-3.498799,-0.5503279999999999,0.050694,-0.629422,-4.9222150000000005,-0.723232,0.031425,0.602964,0.40708,-0.557706,A
2771,-0.030177999999999996,0.438921,-0.045329,0.766462,0.17234000000000002,-0.474083,0.144676,0.7954680000000001,0.40708,-0.388307,A
4766,0.15498,0.595945,0.036468,-0.126143,0.261718,0.10726500000000001,0.7864329999999999,-0.175477,-0.091823,-0.204346,A
1402,0.204355,-0.275537,0.360101,-0.278884,0.261718,0.688613,0.031425,-1.491939,-0.9649049999999999,0.7096859999999999,A
7012,0.10560399999999999,0.289748,0.17161099999999999,-0.22004400000000002,0.261718,-0.723232,0.220177,0.101115,0.032902,-0.653122,A
6745,0.068573,0.289748,0.107596,1.267115,0.261718,0.771662,0.257927,0.940501,-0.029461,0.6544260000000001,A
968,0.994361,-0.008597,-0.148465,0.8268840000000001,0.261718,-0.058835000000000005,0.446679,0.7980109999999999,-0.559546,-0.176112,A
4942,-0.116585,0.06991499999999999,0.068476,-0.783147,0.261718,0.190314,0.031425,-0.135908,-0.029461,0.278185,A
7635,0.019197,-0.087108,0.292529,0.24077600000000002,0.17234000000000002,0.688613,0.220177,-0.487658,-0.060641999999999995,0.617609,A
3717,0.056228999999999994,0.533135,0.185837,0.8828010000000001,0.261718,0.06573999999999999,0.55993,0.047392000000000004,-0.621908,-0.130641,A
9399,-0.042522000000000004,-0.29909,0.182281,1.151314,0.261718,1.0623360000000002,0.408929,0.621506,0.095265,0.8469459999999999,A
6573,0.13029200000000002,0.077766,0.299642,-0.693335,0.261718,-0.515608,0.144676,0.10596900000000001,0.095265,-0.42084399999999994,A
8818,-0.153617,-0.03215,0.27119099999999996,0.057241,0.261718,-0.266459,-0.119577,-0.10129099999999999,-0.341275,-0.037889,A
3161,0.13029200000000002,-0.126364,0.37788299999999997,0.755362,0.261718,0.024215,0.446679,-0.37598000000000004,0.251173,-0.103698,A
6173,0.019197,-0.605286,0.5023569999999999,0.181368,0.17234000000000002,0.564038,-0.119577,-0.08902,0.126447,0.7117359999999999,A
6684,0.031541,-2.426761,0.37077,0.77977,0.17234000000000002,0.9377620000000001,0.295677,0.841075,0.095265,0.796037,A
6728,-0.22768000000000002,0.289748,-0.006209,0.395814,0.261718,-0.557133,-0.232828,0.088009,0.31353600000000004,-0.26967199999999997,A
8098,-0.314087,-2.426761,-0.006209,-0.194681,0.261718,2.391131,0.333428,-1.381621,-0.715453,2.077835,A
5484,1.0437370000000001,-0.401156,0.47390600000000005,0.506215,0.261718,0.190314,0.55993,0.184776,-0.996086,-0.022108000000000003,A
6538,-0.042522000000000004,0.540986,0.253409,-0.8363780000000001,0.261718,-0.22493400000000002,0.106925,1.284192,0.781258,-0.138043,A
2856,0.327793,0.179832,0.157386,-0.508846,0.17234000000000002,1.0208110000000001,0.333428,0.493345,0.656532,0.854456,A
2026,0.21669899999999997,-0.29123899999999997,0.349432,0.5071100000000001,0.261718,-0.14188399999999998,-0.34608,0.603644,0.032902,0.189531,A
8533,0.15498,0.336855,0.068476,0.021525,0.261718,-0.8062819999999999,-0.45933100000000004,0.224111,0.282354,-0.374661,A
4771,0.056228999999999994,0.533135,0.185837,0.8828010000000001,0.261718,0.06573999999999999,0.52218,1.1275879999999998,0.157628,-0.092257,A
9988,-0.042522000000000004,0.407516,-3.210528,-0.636404,0.261718,-0.14188399999999998,0.408929,0.52705,0.032902,-0.227371,A
9476,0.15498,0.054213,0.164499,-0.048325,0.261718,-0.266459,-0.157328,0.5379229999999999,0.31353600000000004,-0.038118,A
2095,0.15498,-0.322644,0.17516800000000002,0.126526,0.17234000000000002,1.186911,0.257927,-0.21331799999999998,0.064084,1.0289780000000002,A
9971,0.17966700000000002,-0.29123899999999997,0.228514,1.550427,0.17234000000000002,0.273364,0.069175,1.585753,0.562987,0.361799,A
6788,0.15498,0.595945,0.036468,-0.126143,0.261718,1.103861,0.748682,-0.5320020000000001,-0.029461,0.6714720000000001,A
7291,0.080916,0.014957,0.064919,0.346104,0.17234000000000002,0.9377620000000001,0.673182,0.26410700000000004,0.282354,0.574114,A
4208,-0.017834,-0.055704,0.23206999999999997,0.604621,-0.989576,-0.681707,0.408929,0.14899300000000001,0.032902,-0.706623,A
10304,0.15498,-0.471816,0.50947,1.205082,0.261718,0.190314,0.220177,-0.701188,-0.8089970000000001,0.16831400000000002,A
8886,0.648733,0.242641,-0.045329,-0.44415699999999997,0.261718,1.768258,0.408929,-1.079575,-0.43482,1.471811,A
9003,0.080916,0.164129,0.19295,0.8190069999999999,0.261718,0.06573999999999999,0.371178,0.947277,-0.278912,-0.024555,A
6326,0.327793,0.336855,-0.020434,1.086893,0.261718,-0.30798400000000004,0.220177,0.44987299999999997,-0.5283640000000001,-0.276773,A
9648,-3.498799,-0.44041199999999997,-3.210528,-0.36475799999999997,-4.9222150000000005,1.35301,0.106925,-0.5634359999999999,-0.9649049999999999,1.29166,A
6417,0.229043,-1.044953,0.349432,0.8424299999999999,0.261718,0.688613,0.408929,-0.23793699999999998,-0.746634,0.514104,A
395,0.117948,0.124874,0.128935,0.3837,0.17234000000000002,1.228436,0.748682,-0.6635810000000001,-0.466001,0.789033,A
5224,0.09326,0.10132000000000001,0.313868,0.756586,0.351096,-0.14188399999999998,0.446679,0.467891,0.251173,-0.250722,A
3504,0.019197,-0.28338800000000003,0.214288,0.857677,0.261718,-0.847807,0.182426,-0.666299,-0.684271,-0.736833,A
3642,0.31545,-0.047852,0.14315999999999998,-0.574788,0.261718,0.8962370000000001,0.52218,0.07471,0.157628,0.623167,A
6564,-0.252367,0.09346900000000001,0.23918299999999998,-0.021440999999999998,0.17234000000000002,2.100457,0.371178,-0.834514,-0.278912,1.797843,A
488,0.09326,0.329004,0.27119099999999996,-0.8135220000000001,0.17234000000000002,1.311485,0.333428,0.20316199999999998,0.064084,1.101972,A
9900,-3.498799,-0.22843000000000002,-3.210528,-0.316957,-4.9222150000000005,-0.474083,0.52218,0.8824489999999999,0.562987,-0.575318,A
6575,0.031541,0.2976,-3.210528,-0.5835899999999999,-0.721442,0.06573999999999999,-0.044076,0.383434,0.095265,0.21420799999999998,A
3496,-3.498799,-0.44041199999999997,-3.210528,-0.36475799999999997,-4.9222150000000005,0.522513,0.257927,0.501421,-0.8401790000000001,0.449392,A
8383,0.031541,-0.09496,-0.031104000000000003,0.803253,0.261718,-0.889332,0.333428,-3.047191,-3.365878,-0.8557450000000001,A
7611,-3.498799,0.054213,-2.083148,-2.4483490000000003,-4.9222150000000005,-1.3461049999999999,0.748682,-3.173216,-2.243345,-1.507457,A
2591,0.13029200000000002,-0.275537,0.27474699999999996,-0.574878,0.261718,-0.432558,0.408929,-1.434896,-0.65309,-0.488907,A
6851,0.15498,0.595945,0.036468,-0.126143,0.261718,0.231839,0.52218,0.35852399999999995,-0.060641999999999995,0.046329,A
10155,0.327793,0.179832,0.157386,-0.508846,0.17234000000000002,-1.3461049999999999,-2.2713509999999997,-2.345829,0.375899,-2.899102,A
6119,0.09326,-0.087108,-2.268081,-0.164963,0.261718,1.186911,0.220177,-0.272846,0.251173,1.069146,A
3899,0.192011,-0.251983,0.33165,0.296423,0.261718,-0.764757,0.144676,-0.760638,-1.058449,-0.6351600000000001,A
9257,0.229043,-0.008597,0.17516800000000002,0.087408,0.17234000000000002,-0.30798400000000004,0.52218,0.09026100000000001,0.18880999999999998,-0.426437,A
4820,0.006853,-0.181323,0.388552,0.301377,-0.095795,2.266557,0.295677,-1.252003,-0.559546,1.9871560000000001,A
9333,-0.00549,0.30545100000000003,0.018686,-0.04009,0.261718,-1.013906,-0.270579,-0.731729,-1.370264,-0.663514,A
2352,-0.116585,-0.338346,-3.210528,-0.8658290000000001,-1.168333,1.726734,-3.441614,-2.516102,-3.8336,2.161775,A
8466,0.10560399999999999,-0.087108,0.367214,1.522618,0.261718,-0.266459,0.031425,-0.9766540000000001,-1.619716,-0.137657,A
1131,0.080916,-0.11851300000000001,0.445454,-0.188027,0.261718,1.35301,0.748682,0.878604,0.7500760000000001,0.886885,A
9867,2.105308,-0.07925700000000001,0.23918299999999998,-1.152363,-0.989576,-2.716425,-0.534832,-1.57395,-1.8379860000000001,-2.212116,A
4533,0.13029200000000002,-0.275537,0.27474699999999996,-0.574878,0.261718,-0.515608,-2.799857,-0.313502,-0.37245700000000004,-1.9797169999999997,A
7224,-0.10424100000000001,-0.055704,0.299642,0.39124899999999996,0.17234000000000002,0.14879,0.446679,0.372173,0.282354,0.009789,A
