Unnamed: 0,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,class
2141,-3.498799,-0.401156,0.352988,0.786513,-4.922215,-0.183409,0.031425,0.467522,-0.403638,-0.059009,A
8971,0.229043,0.242641,0.089814,0.12023,0.261718,-0.058835,-0.044076,0.71668,0.126447,0.095369,A
3471,5.759087,-0.236281,0.377883,-2.104317,-1.79398,-1.470679,0.333428,-1.526129,-2.711067,-1.373778,A
5869,0.401857,-0.220579,-3.210528,-1.185513,-1.168333,-2.342701,-2.799857,-2.768249,-1.993893,-2.926708,A
4458,0.019197,-0.605286,0.502357,0.181368,0.17234,0.231839,0.446679,0.321752,0.064084,0.080155,A
8983,0.25373,0.219088,0.14316,0.720541,0.261718,0.771662,1.654692,0.223917,-0.310094,-0.089002,A
7121,0.09326,0.10132,0.313868,0.756586,0.351096,0.522513,-0.081827,1.010901,0.001721,0.662069,A
5553,0.438888,0.289748,0.14316,-0.282494,0.261718,-0.349509,0.257927,0.867829,0.18881,-0.328188,A
5234,0.142636,0.203385,-0.006209,-0.834827,0.261718,1.477585,0.257927,-0.355147,-0.466001,1.305704,A
10059,0.142636,0.470326,-2.958023,-0.379737,0.261718,0.356414,0.446679,0.403529,0.718895,0.191918,A
6289,0.15498,0.595945,0.036468,-0.126143,0.261718,1.228436,0.446679,-0.691869,-0.091823,0.967136,A
2921,0.389513,0.376111,0.018686,-0.690978,0.082961,0.356414,0.55993,-0.1063,0.18881,0.137525,A
9005,-0.042522,-0.236281,-3.210528,-0.272051,0.261718,0.190314,0.144676,0.932948,0.874802,0.212376,A
5701,-0.252367,0.093469,0.239183,-0.021441,0.17234,3.636877,0.861934,-1.723642,-1.307901,2.777286,A
9212,0.587014,0.399665,0.064919,0.116828,-1.615223,1.020811,0.031425,7.70E-05,-0.466001,1.051304,A
783,0.401857,-0.220579,-3.210528,-1.185513,-1.168333,0.107265,0.635431,-0.113329,-0.091823,-0.130339,A
5468,0.266074,0.258344,-3.210528,-0.405994,0.261718,-0.681707,0.069175,0.837211,0.40708,-0.54107,A
8307,0.142636,0.069915,0.399221,0.568039,-1.168333,-0.224934,0.408929,1.155876,0.032902,-0.304596,A
5491,0.130292,-0.071406,0.214288,0.915742,0.261718,-0.10036,-0.006326,0.740503,0.219991,0.037685,A
7697,0.09326,-0.267686,0.168055,-0.383884,0.261718,0.522513,0.786433,-0.000603,0.126447,0.159153,A
613,-0.054866,0.313302,0.05425,0.218427,0.261718,0.14879,0.295677,1.577229,0.562987,0.089425,A
3466,0.006853,0.038511,-0.376075,0.963811,-0.006417,1.892833,0.446679,-0.422014,0.064084,1.566047,A
9815,0.09326,0.2976,-0.013322,0.1091,0.261718,-0.640182,-0.270579,-0.308279,-0.43482,-0.316048,A
7971,-0.252367,-0.149918,0.313868,-0.243616,0.261718,0.356414,-0.006326,0.755511,0.126447,0.452719,A
1048,0.15498,-0.471816,0.50947,1.205082,0.261718,1.311485,0.597681,-1.032396,-0.933723,0.977069,A
9617,0.327793,-2.426761,-2.324983,-1.744082,0.440474,-0.10036,0.899684,1.351428,-0.247731,-0.4427,A
5922,0.056229,-0.016448,0.345875,-0.053786,0.17234,-0.141884,0.748682,0.496975,0.874802,-0.381086,A
1561,0.142636,-1.916434,-0.023991,-0.504341,0.261718,0.06574,0.371178,0.618127,-0.029461,-0.022181,A
7730,0.105604,0.289748,0.171611,-0.220044,0.261718,0.06574,0.182426,0.299967,-0.029461,0.087533,A
9657,1.019049,0.030659,0.335206,-2.318136,-4.654081,-0.847807,0.635431,-0.908603,-0.247731,-0.950908,A
4061,-0.128929,0.383963,0.23207,1.248675,0.261718,-0.266459,0.295677,1.008843,-0.154186,-0.273952,A
6721,0.204355,0.038511,0.036468,0.655644,0.17234,1.519109,0.257927,0.248866,0.126447,1.338554,A
1093,0.216699,-2.08916,0.424116,-0.457525,0.082961,1.726734,-2.497853,-0.011087,-0.310094,-0.696762,A
9958,-3.498799,0.486028,0.139604,-5.440122,-0.006417,-0.307984,0.182426,0.242148,-2.243345,-0.261933,A
1821,-0.00549,-0.283388,0.214288,-2.421913,0.17234,-1.927453,-5.933141,-3.257401,-2.679886,-4.218174,A
769,0.068573,-1.16272,-3.210528,-0.829367,0.261718,2.266557,0.786433,-1.032046,-0.310094,1.651312,A
9044,0.117948,0.627349,0.075589,0.831628,0.261718,-1.180006,0.220177,-0.483211,-0.933723,-1.063648,A
4963,0.303106,-0.134216,-0.002652,-0.624558,0.261718,1.602159,0.446679,-2.229084,-1.027268,1.291322,A
2541,0.167323,0.117022,0.047137,-0.174809,0.261718,-0.349509,0.220177,0.521419,-0.154186,-0.303065,A
1107,0.377169,0.179832,0.064919,-1.533962,0.261718,-0.266459,0.446679,0.093018,-0.310094,-0.357277,A
2206,0.327793,0.179832,0.157386,-0.508846,0.17234,0.273364,0.069175,0.796943,0.438262,0.340426,A
1579,-0.017834,0.132725,0.125378,1.357345,0.261718,1.020811,0.220177,0.723747,-0.029461,0.9288,A
785,0.216699,-2.08916,0.424116,-0.457525,0.082961,-0.307984,0.220177,1.422391,0.594169,-0.278617,A
2076,0.142636,-1.916434,-0.023991,-0.504341,0.261718,-0.598658,0.371178,0.832008,0.40708,-0.620441,A
10139,-0.079554,0.187683,-0.070224,0.211236,0.261718,-1.180006,0.144676,-2.991022,-3.20997,-1.028857,A
9240,0.377169,-0.079257,0.153829,-1.102952,0.261718,-0.01731,0.144676,0.840492,-0.123005,0.034045,A
